,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
35,MN 12,Washington Heights/Inwood,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,0.0%,0.0%,0.0%,,312
36,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,2.4%,0.0%,0.4%,0.0%,,312
37,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,10.3%,0.0%,0.0%,1.0%,,312
38,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,36.5,17.8,22.8,15.9,,312
39,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,46.3%,9.7%,47.4%,45.3%,,312
40,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.4%,45.9%,2.9%,8.4%,,312
41,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,17.8,22.7,10.1,25.4,,312
42,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,1,5,6,0,0,3,312
43,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,8,20,1,6,1,5,312
44,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,36,66,35,36,5,37,312
45,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,8,17,27,77,42,66,312
46,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,53,108,69,119,48,111,312
47,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$973,460","$409,880",,,"$2,500,000",312
48,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$447,000","$937,650","$793,990","$814,570","$800,000",312
49,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$141,120","$124,860","$201,120","$163,850","$167,740",312
50,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$496,900","$442,950","$640,480","$579,610","$547,500",312
51,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,39.6,13.8,,,,312
52,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,489.9,432.6,386.2,"1,196.6",671.9,312
53,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,308.9,226.8,510.6,587.0,457.7,312
54,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,299.6,283.8,480.1,466.7,447.3,312
55,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,315.4,225.6,523.7,549.7,509.5,312
56,MN 12,Washington Heights/Inwood,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,71.3,70.1,69.6,,,312
57,MN 12,Washington Heights/Inwood,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,127,0,0,145,0,,312
58,MN 12,Washington Heights/Inwood,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,0,0,40,104,22,,312
59,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",75.0%,78.8%,83.9%,87.6%,,,312
60,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,40.4,38.3,39.0,43.1,,,312
61,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,10.6,10.8,10.3,11.7,13.2,312
62,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,6.0,5.8,5.8,7.4,7.7,312
63,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.6,4.9,4.5,4.2,5.4,312
64,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,42.5%,,,312
65,MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,40.0%,,,312
66,MN 12,Washington Heights/Inwood,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,190","$1,390",,,312
67,MN 12,Washington Heights/Inwood,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,020","$1,100","$1,260","$1,380",,,312
